[23:06:25] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[23:06:26] [ServerMain/INFO]: Loaded 7 recipes
[23:06:26] [ServerMain/INFO]: Loaded 1271 advancements
[23:06:27] [Server thread/INFO]: Starting minecraft server version 1.20.1
[23:06:27] [Server thread/INFO]: Loading properties
[23:06:27] [Server thread/INFO]: Default game type: SURVIVAL
[23:06:27] [Server thread/INFO]: Generating keypair
[23:06:27] [Server thread/INFO]: Starting Minecraft server on *:25565
[23:06:27] [Server thread/INFO]: Using epoll channel type
[23:06:27] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[23:06:27] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[23:06:27] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[23:06:27] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[23:06:27] [Server thread/INFO]: Preparing level "world"
[23:06:32] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[23:06:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:06:33] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[23:06:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:06:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:06:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:06:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:06:36] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[23:06:36] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[23:06:36] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[23:06:37] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[23:06:37] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[23:06:38] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[23:06:39] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[23:06:39] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[23:06:40] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[23:06:40] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[23:06:41] [Worker-Main-1/INFO]: Preparing spawn area: 12%
[23:06:41] [Worker-Main-1/INFO]: Preparing spawn area: 14%
[23:06:42] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[23:06:42] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[23:06:43] [Worker-Main-1/INFO]: Preparing spawn area: 17%
[23:06:43] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[23:06:43] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[23:06:44] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[23:06:45] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[23:06:45] [Worker-Main-3/INFO]: Preparing spawn area: 29%
[23:06:46] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[23:06:46] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[23:06:47] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[23:06:47] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[23:06:47] [Worker-Main-2/INFO]: Preparing spawn area: 39%
[23:06:48] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[23:06:49] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[23:06:49] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[23:06:50] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[23:06:50] [Worker-Main-1/INFO]: Preparing spawn area: 51%
[23:06:51] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[23:06:51] [Worker-Main-1/INFO]: Preparing spawn area: 56%
[23:06:51] [Worker-Main-3/INFO]: Preparing spawn area: 59%
[23:06:52] [Worker-Main-3/INFO]: Preparing spawn area: 62%
[23:06:52] [Worker-Main-1/INFO]: Preparing spawn area: 65%
[23:06:53] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[23:06:53] [Worker-Main-3/INFO]: Preparing spawn area: 70%
[23:06:54] [Worker-Main-3/INFO]: Preparing spawn area: 73%
[23:06:54] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[23:06:55] [Worker-Main-3/INFO]: Preparing spawn area: 79%
[23:06:56] [Worker-Main-3/INFO]: Preparing spawn area: 81%
[23:06:56] [Worker-Main-3/INFO]: Preparing spawn area: 83%
[23:06:56] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[23:06:57] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[23:06:58] [Worker-Main-2/INFO]: Preparing spawn area: 93%
[23:06:58] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[23:06:58] [Worker-Main-2/INFO]: Preparing spawn area: 99%
[23:06:59] [Server thread/INFO]: Time elapsed: 26038 ms
[23:06:59] [Server thread/INFO]: Done (31.715s)! For help, type "help"
[23:06:59] [Server thread/INFO]: Unknown or incomplete command, see below for error
[23:06:59] [Server thread/INFO]: home/codespace/.python/current/bin/python /workspaces/Servidor/msx.py<--[HERE]
